"species";"growth.rate";"SiteID";"Density.tree.Class";"age"
"Beech";0,841890513870339;37;"low";57
"Oak";1,17480019047833;37;"medium";63
"Oak";1,22966486160929;37;"low";57
"Oak";0,664561500774638;37;"low";61
"Oak";1,22756516599068;37;"low";60
"Oak";1,20531615770678;37;"low";55
"Beech";1,20505619080634;37;"low";61
"Beech";1,29698435774045;37;"low";60
"Beech";1,29294139799174;37;"low";55
"Beech";1,20196172567975;38;"low";101
"Oak";1,33899786132604;38;"low";119
"Oak";1,05601483906446;38;"low";103
"Oak";1,12652417087969;38;"low";103
"Beech";1,04013203745375;38;"low";101
"Beech";1,25601857212156;38;"low";100
"Beech";1,11189398812501;38;"low";96
"Beech";0,82223599054225;38;"low";102
"Beech";1,43425927827862;38;"low";102
"Oak";0,865187901339529;38;"low";100
"Oak";1,20150576712134;38;"low";98
"Oak";0,902217727350713;38;"low";101
"Spruce";1,23464647071545;39;"high";77
"Larch";1,41982729242681;39;"high";80
"Larch";1,31943096109753;39;"high";77
"Larch";1,34401259568037;39;"high";74
"Spruce";1,33481221501353;39;"high";75
"Spruce";1,43478208086225;39;"low";76
"Spruce";1,31226737699677;39;"high";73,5
"Spruce";1,26317378689766;39;"medium";75
"Spruce";1,42362511707756;39;"high";75
"Larch";1,2572200707345;39;"high";77
"Larch";1,11617261820161;39;"high";76
"Larch";0,996058397658951;39;"high";77
"Larch";0,953863631551638;40;"medium";94
"Spruce";1,40741943180266;40;"high";95
"Spruce";1,22361376193781;40;"high";94
"Spruce";0,68943952168891;40;"medium";95
"Larch";0,99972969080786;40;"low";96,5
"Larch";0,983299508608657;40;"medium";100
"Larch";0,458763830864822;40;"high";98
"Larch";1,06401700429965;40;"medium";99
"Spruce";1,15734321510237;40;"medium";95
"Spruce";1,26381040996804;40;"high";96
"Spruce";1,23926483836377;40;"low";96
"Spruce";1,37929465011913;41;"high";91
"Larch";1,37751211349264;41;"medium";94
"Larch";1,26101829886592;41;"low";89
"Spruce";1,36561937288945;41;"high";90
"Spruce";1,27681566816059;41;"medium";90
"Spruce";1,43316097586301;41;"high";91
"Spruce";0,870032808683311;41;"medium";90
"Spruce";0,855190010262184;41;"medium";89
"Larch";0,916307538477639;41;"high";92,5
"Larch";0,983600656381264;41;"high";91
"Larch";1,41422528983296;41;"high";88
"Oak";1,17398684548273;42;"low";80
"Larch";0,726823408526901;42;"low";69
"Larch";0,603290786118494;42;"high";74
"Larch";0,416904665125059;42;"low";72
"Oak";0,945315218520431;42;"medium";76
"Oak";0,922753520791275;42;"low";79
"Oak";0,903454118081711;42;"medium";67
"Oak";1,10659580698335;42;"medium";77
"Oak";1,09978604792836;42;"low";79
"Larch";0,684197274155473;42;"low";66
"Larch";0,778391247767486;42;"low";73
"Oak";1,22190220485404;43;"low";104
"Larch";0,946859287403731;43;"low";99
"Larch";1,35313388927384;43;"low";101
"Larch";1,00095796692001;43;"low";102
"Oak";0,824077149734688;43;"medium";102
"Oak";0,954689436057483;43;"low";99
"Oak";1,27030848204828;43;"medium";102
"Oak";1,25879536866358;43;"low";103
"Oak";0,87831203484884;43;"low";100
"Larch";0,979092838499815;43;"low";98
"Larch";0,973857365333662;43;"low";97
"Larch";1,07856283413211;43;"low";100
"Oak";1,10771883419354;44;"high";98
"Larch";0,471731918362861;44;"high";103
"Larch";0,634658961657987;44;"high";105
"Oak";1,07326303078521;44;"medium";104
"Oak";1,31606079716316;44;"medium";106
"Oak";1,24171322535687;44;"high";100
"Oak";1,1442654771988;44;"high";101
"Oak";1,51662624557265;44;"medium";104
"Larch";0,307489042548654;44;"medium";97
"Larch";0,594115072948356;44;"medium";101
"Larch";0,507785858489689;44;"high";101,5
"Oak";1,14833015698649;45;"medium";48
"Spruce";0,87682336643842;45;"high";55
"Spruce";1,39251042545972;45;"medium";48
"Spruce";0,995078186114678;45;"high";55
"Oak";1,36746682236201;45;"high";59
"Oak";1,13806157004352;45;"medium";47
"Oak";1,19050487866431;45;"medium";43
"Oak";0,862224855095989;45;"low";39
"Oak";1,02029339923936;45;"medium";45
"Spruce";1,44436985975955;45;"medium";45
"Spruce";1,01072404737659;45;"high";56
"Spruce";1,25123814787506;45;"medium";39
"Spruce";1,11823154694898;46;"medium";63
"Oak";0,369942835549278;46;"medium";64
"Oak";1,05004249115924;46;"medium";66
"Oak";1,43673572699115;46;"low";66
"Spruce";1,64701332640171;46;"low";56
"Spruce";0,929282713259441;46;"high";56
"Spruce";1,32511558482633;46;"high";57
"Spruce";1,21630224571928;46;"medium";60
"Oak";1,16551050563668;46;"medium";64
"Oak";1,01599642861557;46;"medium";63
"Oak";0,627442713336466;46;"high";66
"Oak";1,38818661222236;47;"low";68
"Spruce";1,22598474813795;47;"medium";69
